2;43;43;43;43;43;43
3;44;44;44;44;43;44
4;44;44;44;44;44;44
5;47;47;47;46;47;46
6;52;52;52;52;52;52
7;58;56;58;56;58;56
8;62;61;62;61;62;61
9;65;65;65;65;65;65
10;71;71;72;71;71;71
11;77;77;77;77;77;75
12;82;81;82;81;82;81
13;86;86;86;86;86;86
14;86;86;86;86;86;86
